Año,Trimestre,Código Dane,Departamento,Número de accesos a internet,Población,Penetración
2021-01-01,3,91,AMAZONAS,1318,82171,1.6
2021-01-01,3,5,ANTIOQUIA,1491948,6726219,22.18
2021-01-01,3,81,ARAUCA,25225,300637,8.39
2021-01-01,3,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",4397,62159,7.07
2021-01-01,3,8,ATLÁNTICO,434601,2741002,15.86
2021-01-01,3,11,BOGOTÁ D.C.,2157112,7823334,27.57
2021-01-01,3,13,BOLÍVAR,229505,2202773,10.42
2021-01-01,3,15,BOYACÁ,155154,1271639,12.2
2021-01-01,3,17,CALDAS,155984,1028635,15.16
2021-01-01,3,18,CAQUETA,36142,418267,8.64
2021-01-01,3,85,CASANARE,52846,452098,11.69
2021-01-01,3,19,CAUCA,96634,1525284,6.34
2021-01-01,3,20,CESAR,128755,1322378,9.74
2021-01-01,3,27,CHOCÓ,27335,573848,4.76
2021-01-01,3,25,CUNDINAMARCA,539036,3233689,16.67
2021-01-01,3,23,CÓRDOBA,120463,1864336,6.46
2021-01-01,3,94,GUAINÍA,1198,53583,2.24
2021-01-01,3,95,GUAVIARE,2406,91717,2.62
2021-01-01,3,41,HUILA,137754,1151211,11.97
2021-01-01,3,44,LA GUAJIRA,57064,993081,5.75
2021-01-01,3,47,MAGDALENA,143430,1454154,9.86
2021-01-01,3,50,META,146429,1098104,13.33
2021-01-01,3,52,NARIÑO,117642,1678786,7.01
2021-01-01,3,54,NORTE DE SANTANDER,194362,1654341,11.75
2021-01-01,3,86,PUTUMAYO,14771,371213,3.98
2021-01-01,3,63,QUINDÍO,123508,557099,22.17
2021-01-01,3,66,RISARALDA,217507,968287,22.46
2021-01-01,3,68,SANTANDER,395235,2312097,17.09
2021-01-01,3,70,SUCRE,66050,966893,6.83
2021-01-01,3,73,TOLIMA,199027,1361931,14.61
2021-01-01,3,76,VALLE DEL CAUCA,886712,4613764,19.22
2021-01-01,3,97,VAUPÉS,62,44378,0.14
2021-01-01,3,99,VICHADA,1421,118270,1.2
2021-01-01,4,91,AMAZONAS,1251,82171,1.52
2021-01-01,4,5,ANTIOQUIA,1513196,6726219,22.5
2021-01-01,4,81,ARAUCA,25826,300637,8.59
2021-01-01,4,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",4176,62159,6.72
2021-01-01,4,8,ATLÁNTICO,427100,2741002,15.58
2021-01-01,4,11,BOGOTÁ D.C.,2171274,7823334,27.75
2021-01-01,4,13,BOLÍVAR,234257,2202773,10.63
2021-01-01,4,15,BOYACÁ,160522,1271639,12.62
2021-01-01,4,17,CALDAS,155415,1028635,15.11
2021-01-01,4,18,CAQUETA,36020,418267,8.61
2021-01-01,4,85,CASANARE,54243,452098,12.0
2021-01-01,4,19,CAUCA,92899,1525284,6.09
2021-01-01,4,20,CESAR,119567,1322378,9.04
2021-01-01,4,27,CHOCÓ,27323,573848,4.76
2021-01-01,4,25,CUNDINAMARCA,573578,3233689,17.74
2021-01-01,4,23,CÓRDOBA,120276,1864336,6.45
2021-01-01,4,94,GUAINÍA,1011,53583,1.89
2021-01-01,4,95,GUAVIARE,2356,91717,2.57
2021-01-01,4,41,HUILA,144817,1151211,12.58
2021-01-01,4,44,LA GUAJIRA,57805,993081,5.82
2021-01-01,4,47,MAGDALENA,146124,1454154,10.05
2021-01-01,4,50,META,151508,1098104,13.8
2021-01-01,4,52,NARIÑO,123137,1678786,7.33
2021-01-01,4,54,NORTE DE SANTANDER,198306,1654341,11.99
2021-01-01,4,86,PUTUMAYO,15647,371213,4.22
2021-01-01,4,63,QUINDÍO,126492,557099,22.71
2021-01-01,4,66,RISARALDA,222026,968287,22.93
2021-01-01,4,68,SANTANDER,405974,2312097,17.56
2021-01-01,4,70,SUCRE,66810,966893,6.91
2021-01-01,4,73,TOLIMA,200942,1361931,14.75
2021-01-01,4,76,VALLE DEL CAUCA,892963,4613764,19.35
2021-01-01,4,97,VAUPÉS,70,44378,0.16
2021-01-01,4,99,VICHADA,1281,118270,1.08
2022-01-01,1,91,AMAZONAS,1079,83690,1.29
2022-01-01,1,5,ANTIOQUIA,1554896,6787846,22.91
2022-01-01,1,81,ARAUCA,33297,307628,10.82
2022-01-01,1,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",4225,62255,6.79
2022-01-01,1,8,ATLÁNTICO,443905,2774958,16.0
